Cre01.g000050	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)	
Cre02.g105600	Conserved eyespot protein related to ABC1/COQ8 mitochondrial putative ser/thr kinase. ABC1 kinase family protein required for eyespot assembly; very similar to Arabidopsis thaliana proteins associated with plastoglobules (At1g71810, At1g79600); PMID: 1051	
Cre02.g105600	Conserved eyespot protein related to ABC1/COQ8 mitochondrial putative ser/thr kinase. ABC1 kinase family protein required for eyespot assembly; very similar to Arabidopsis thaliana proteins associated with plastoglobules (At1g71810, At1g79600); PMID: 1051	
Cre02.g105950	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]	
Cre02.g106150	Peptidyl-prolyl cis-trans isomerase (rotamase), cyclophilin type [PMID: 15051864, PMID: 15047905]; cytosolic; very similar to At1g01940 (AtCYP18-1).  Previously annotated as CYN18-1	
Cre02.g106250	La-like RNA-binding protein.  Contains an N-terminal La domain and a RRM motif; its closest homologues in Arabidopsis are LA-like proteins with a single RRM and an N-terminal extension (AT5G46250, AT3G19090), believed not to fulfill the stabilization func	
Cre02.g106350	Acid phosphatase/vanadium-dependent haloperoxidase.  Green-lineage conserved protein.  Previously annotated as CGL68	
Cre02.g106400	Lecithin:cholesterol acyltransferase; phospholipid:diacylglycerol acyltransferase (compare Trypanosoma cruzi strain CL Brener)	
Cre02.g106600	Cytosolic 80S ribosomal protein S19; Cytosolic 40S small ribosomal subunit protein S19	
Cre02.g106750	Putative mitochondrial ribosomal protein S9, imported to mitochondria	
Cre02.g107050	Flagellar inner arm dynein heavy chain, dynein b (monomeric).  Identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714]	
Cre02.g107300	Dihydrodipicolinate synthase (DHDPS) (EC:4.2.1.520); predicted organelle (mitochondria) targeting by Target-P; expected to be plastidic based on homology	
Cre02.g107350	Flagellar inner arm dynein heavy chain (monomeric).  Has not been identified in Chlamydomonas flagella in mass spec proteomic study by Yagi et al. [PMID: 19351714].  Novel minor type found exclusively at the flagellar basal portion	
Cre02.g107450	ATP-sulfurylase; catalyses the synthesis of adenosine-phosphosulphate (APS) from ATP and inorganic sulphate. Present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre02.g107800	Contains a NIMA (never-in-mitosis) kinase domain and a C-terminal region with no database similarity except in Volvox	
Cre02.g107850	MOB1 proteins are involved in mitotic exit and regulation of cytokinesis.	
Cre02.g108200	Conserved protein of unknown function	
Cre02.g108400	Putative defender against death (DAD) protein; contains a DAD domain (IPR003038)	
Cre02.g108450	Flagellar Associated Protein similar to Transcriptional Coactivator-Like Protein; found in the flagellar proteome [PMID: 15998802]; transcript upregulated during flagellar regeneration [PMID: 15738400]	
Cre02.g108550	Amino acid carrier 3; belongs to APC (Amino acid Polyamine organoCation) family	
Cre02.g108800	Putative chloroplast-targeted TPR protein contains heat shock protein DnaJ domain (pfam00226) in C terminus and N-terminal TPR, Tetratricopeptide repeat domain (cd00189); weak homology with Arabidopsis Q94CJ9.  Previously annotated as TPR10	
Cre02.g108850	Chloroplast ribosomal protein L17, imported to chloroplast; Chloroplast large ribosomal subunit protein L17	
Cre02.g109100	Similar to calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase IB from Rattus norvegicus. Long protein with C-terminal phosphodiesterase domain	
Cre02.g109550	Putative homoserine dehydrogenase (EC 1.1.1.3); similar to HSDH portion of Arabidopsis bifunctional aspartate kinase/homoserine dehydrogenase (GenBank BAC43372), but lacking the aspartate kinase portion; 5' end overlaps; predicted 3' UTR of Chlamydomonas	
Cre02.g109600	Inositol monophosphatase; 93% identical to putative IMPase from Chlamydomonas incerta (GenBank AAW82030).  Possible glutathione S-transferase activity.  Previously annotated as INM1	
Cre02.g109650	Gamete-specific homeodomain protein GSP1, expressed only in mating type (+) gametes, late in gametogenesis [PMID: 9864368, PMID: 18510927]. GSP1's activity may be modulated by phosphorylation [PMID: 10567416]. May be involved in regulating zygote gene exp	
Cre02.g109800	Conserved FAD dependent oxidoreductase; predicted targeting to mitochondrion for Arabidopsis homologue.  Previously annotated as CPLD32	
Cre02.g109950	Single helix protein similar to the HLIPs. A member of the extended LHC gene family. The protein is required for viability in high light in cyanobacteria and appears to be involved in stress acclimation	
Cre02.g110200	Belongs to M3 family of metalloproteases, like thimet oligopeptidase; most similar to eubacterial homologues; possibly organelle-targetted.  Previously annotated as THO1 but this conflicts with series for Tho complex subunits	
Cre02.g110300	DnaJ-like protein, probably cytosolic since it contains very short N-terminal extension and homologs in Arabidopsis (Q8RYC5, Q8L7R1, and Q9FMD2) are predicted by TargetP to be cytosolic; contains N-terminal J-domain (pfam00226); no homology to other prote	
Cre02.g110600	Serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to At4g18370 (DegP5) and DegP1 [PMID: 11299370, PMID: 12185496]; has a single PDZ domain; probably localized to chloroplast (thylakoid lumen)	
Cre02.g110750	Putative light-harvesting protein; (LHCII type I CAB) (LHCP); formerly LHCBP1 in v3; Minagawa calls this LHCB7	
Cre02.g110950	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP133	
Cre02.g111000	Conserved expressed protein.  Possible nucleotide-diphospho-sugar transferase, localized to the ER	
Cre02.g111050	Belongs to AMT1 family (Amt1;7 or Amt1:7); two different splicing variants have been found for this gene, this one is AMT7.a (Amt1;7a), the longest one (AY588244); was AMT1G.a; belongs to AMT1 family (Amt1;7 or Amt1.7); two different splicing variants hav	
Cre02.g111150	Belongs to the family of exostosin-like glycosyltransferases	
Cre02.g111450	Rhodanese-like protein, chloroplast location proposed; present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]	
Cre02.g111650	Protein with SPX domain and conserved chaperonin Cpn60 site	
Cre02.g112000	Belongs to AAAP family of amino acid/auxin permeases; most similar to animal and protist relatives	
Cre02.g112100	Flagellar Associated Protein with weak similarity to a kinase regulatory subunit; found in the flagellar proteome [PMID: 15998802].  Also known as C1a-86	
Cre02.g112300	Calpain family cysteine protease.  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia	
Cre02.g112850	Putative mitochondrial flavin-dependent monoxygenase required for coenzyme Q biosynthesis [PMID: 12721307] (UbiH)	
Cre02.g113200	Glutamine synthetase (EC 6.3.1.2), CO2-responsive gene; glutamine synthetase, cytosolic isozyme (Glutamate--ammonia ligase) (GS1), CO2-responsive gene; identical to GLNA1_CHLRE cDNA [Swissprot Q42688), PMID: 8938407].  Identified by Abe et al. 2004 [PMID:	
Cre02.g113850	Porphobilinogen deaminase, chloroplast precursor; Hydroxymethylbilane synthase; Pre-uroporphyrinogen synthase; PBGD; HMBS; HEM3; HEMC; Predicted chloroplast transit peptide 1-53 [PMID: 1986793; PMID: 8192681]	
Cre02.g114100	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase. Similar to calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase IB from Rattus norvegicus	
Cre02.g114250	Putative naphthoate synthase [=menB]. Evolutionarily related to enoyl-CoA hydratase/isomerase	
Cre02.g114400	Catalytic/ iron ion binding; lipoate synthase; lipoic acid synthase.  Previously annotated as LIPA2	
Cre02.g114600	2-cys Peroxiredoxin, thioredoxin dependent peroxidase, probably cytosolic, more closely related to mammalian peroxiredoxins than to plant peroxiredoxins. Found in the flagellar proteome [PMID: 15998802].	
Cre02.g114700	Peptidyl-prolyl cis-trans isomerase, cyclophilin-type; found in the flagellum radial spoke stalk (RSP12) [PMID: 16507594]	
Cre02.g114900	Protein of unknown function with ankyrin repeats	
Cre02.g115050	Intramembrane metalloprotease related to site-2 protease; contains M50 domain, with HExxH motif embedded in transmembrane helix; homologous to bacterial RseP/YaeL/PsoIVFB involved in transmembrane signaling.  Previously annotated as RSEP3	
Cre02.g115200	Cytosolic 80S ribosomal protein L27a; Cytosolic 60S large ribosomal subunit protein L27a.  Candidate gene for the cycloheximide resistance mutation act1.	
Cre02.g115250	Found in basal body proteome [PMID: 15964273]. Characterized by Keller et al. 2009 [PMID: 19109428] as a highly abundant centriole protein containing a WD40 domain.	
Cre02.g115300	Belongs to AAAP family of amino acid/auxin permeases; most similar to animal relatives; contains a large C-terminal domain of unknown function	
Cre02.g115450	Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens	
Cre02.g115650	Fructose-1,6-bisphosphate aldolase-like protein; aldehyde-lyase (EC 4.1.2.13); possibly cytosolic based on similarity to Solanum tuberosum aldolase-like protein (GenBank ABC01905); glycolytic enzyme that catalyses the reversible aldol cleavage or condensa	
Cre02.g116400	Flagellar Associated Protein with ankyrin repeats, found in the flagellar proteome [PMID: 15998802]. Characterized by Ikeda et al. 2008 [PMID: 19021242].  Previously annotated as FAP120	
Cre02.g116450	D-Ribulose-5-Phosphate 3-Epimerase (EC 2.7.1.19); Ribulose Phosphate epimerase; probable cytosolic form	
Cre02.g116500	Serine carboxypeptidase; serine-type protease (family S10, clan SC)	
Cre02.g116550	DnaJ-like protein, perhaps targeted to the chloroplast (contains N-terminal extension that is predicted by ChloroP to be chloroplast transit peptide); contains N-terminal J-domain (pfam00226) and NADPH:quinone reductase and related Zn-dependent oxidoreduc	
Cre02.g116600	Belongs to the family of exostosin-like glycosyltransferases	
Cre02.g116600	Belongs to the family of exostosin-like glycosyltransferases	
Cre02.g116700	Putative protein tyrosine kinase identified through multi-level HMM library for kinase classification (PMID: 17557329)	
Cre02.g116750	Alpha subunit of the mitochondrial ATP synthase [= human ATP5A1, yeast ATP1]; part of the F1 sector; isoform of ATP1B	
Cre02.g116750	Alpha subunit of the mitochondrial ATP synthase [= human ATP5A1, yeast ATP1]; part of the F1 sector; isoform of ATP1B	
Cre02.g116850	Protein contains an interrupted SET domain with very weak similarity to Arabidopsis thaliana ASHR2, SET39, SDG39 (At2g19640) and Zea mays SET123.  Previously annotated as SETb.  ChromoDB SDG3406	
Cre02.g116900	Homolog of small hydrophilic plant seed proteins.  May play a role in water retention, water uptake, and prevention of denaturation of cytoplasmic components.  Related to hydrophilin superfamily	
Cre02.g116900	Homolog of small hydrophilic plant seed proteins.  May play a role in water retention, water uptake, and prevention of denaturation of cytoplasmic components.  Related to hydrophilin superfamily	
Cre02.g117000	Similar to guanylate cyclase 1 (GCYB2) from Homo sapiens	
Cre02.g117300	Putative mitochondrial ribosomal protein L45	
Cre02.g117350	Tubulin tyrosine ligase.  Identified by comparative genomics as being present only in organisms having motile (MOT) cilia.  Previously annotated as MOT11	
Cre02.g117500	Hexokinase; catalyses the ATP-dependent conversion of aldo- and keto-hexose sugars to the hexose-6-phosphate (H6P)	
Cre02.g117550	Protein of unknown function with ankyrin repeats; similar to putative ankyrin AT2G03430 [Arabidopsis thaliana]	
Cre02.g117900	DEAD/DEAH box family ATP dependent helicase.  Putative Mtr4p homolog, also called DOB1: Dead-box family ATP dependent helicase required for mRNA export from the nucleus; co-factor of the exosome complex, required for 3' end formation of 5.8S rRNA in Sacch	
Cre02.g118050	Homologous to cyclin U	
Cre02.g118250	Contains two SWIB domains, conserved in yeast and mammals, present in ATP-dependent chromatin-remodelling proteins that facilitate transcription activation. Similar to Arabidopsis SWIB complex BAF60b domain-containing protein encoded by F13F21.4.	
Cre02.g118300	DEAD box ATP-dependent RNA helicase.  Previously annotated as RHE	
Cre02.g118450	DnaJ-like protein; contains N-terminal J-domain (pfam00226); weak homology to rice Q7XI55, which contains thioredoxin fold and is predicted to be ER-targeted	
Cre02.g118500	Expressed Protein. Beta'-COP (Beta-prime). Subunit of COP-I complex involved in vesicle trafficking.	
Cre02.g118600	FtsZ1 plastid division protein, identical to GI:20372934; alternative splicing uses splice sites internal to exons 5 and 9 (20021010.1409.1).  Transcription levels were characterized by Adams et al. 2008 [PMID: 18270733]; also see [PMID: 12598582] and [PM	
Cre02.g118900	Highly conserved expressed protein; homolog of mouse MYG1 (GAMM1), a highly conserved gene from autonomously proliferating mouse melanocytes. Contains a putative metal-dependent hydrolase domain. Similar to GAMM1 protein of Arabidopsis thaliana	
Cre02.g118950	Chloroplast ribosomal protein S17, imported to chloroplast; Chloroplast small ribosomal subunit protein S17	
Cre02.g119050	Carboxyesterase-related protein, conserved protein of unknown function; contains esterase/lipase/thioesterase domain and predicted N-terminal signal peptide. Similar to an Arabidopsis At1g26120 hypothetical protein with a carboxylesterase domain encoded b	
Cre02.g119100	Carboxyesterase-related protein/arylformamidase; contains esterase/lipase/thioesterase domain. In a tandem arrangement with CER1; similar to an Arabidopsis hypothetical protein with a carboxylesterase domain encoded by F16B3.4; similar to Arabidopsis At1g	
Cre02.g119550	Present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018] but TargetP predicts mitochondrial localization; Volvox homolog NipA is NaCl-inducible [PMID: 17184518]	
Cre02.g119850	Similar to calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase IB from Rattus norvegicus. Long protein with C-terminal phosphodiesterase domain	
Cre02.g119900	Cysteine-type endopeptidase, papain type	
Cre02.g120100	Ribulose bisphosphate carboxylase/oxygenase small subunit 1 [PMID: 3820291; PMID: 521455; PMID: 11641402]	
Cre02.g120150	RuBisCO small subunit 2, chloroplast precursor [PMID: 3820291]	
Cre02.g120250	Chloroplast protein kinase required for LHCII phosphorylation and state transition [PMID: 12624266].  Identified in the eyespot phosphoproteome by Wagner et al. 2008 [PMID: 18065559].	
Cre02.g120250	Chloroplast protein kinase required for LHCII phosphorylation and state transition [PMID: 12624266].  Identified in the eyespot phosphoproteome by Wagner et al. 2008 [PMID: 18065559].	
