Gene ID	description
Bathy05g04020	unnamed protein product
Bathy05g04030	predicted protein
Bathy05g04040	unnamed protein product
Bathy05g04050	predicted protein
Bathy05g04060	predicted protein
Bathy05g04070	aprataxin
Bathy05g04080	unnamed protein product
Bathy05g04090	unknown protein
Bathy05g04100	unknown protein
Bathy05g04110	predicted protein
Bathy05g04120	U4/U6 small nuclear ribonucleoprotein Prp3
Bathy05g04130	unknown protein
Bathy05g04140	hypothetical protein MICPUN_60556
Bathy05g04150	unknown protein
Bathy05g04160	GTP-binding protein LepA
Bathy05g04170	predicted protein
Bathy05g04180	hypothetical protein
Bathy05g04190	predicted protein
Bathy05g04200	predicted protein
Bathy05g04210	unknown protein
Bathy05g04220	predicted protein
Bathy05g04230	deoxyribonuclease tatD
Bathy05g04240	hypothetical protein
Bathy05g04250	predicted protein
Bathy05g04260	WD repeat pf20, putative
Bathy05g04270	predicted protein
Bathy05g04280	predicted protein
Bathy05g04290	threonine synthase
Bathy05g04300	unknown protein
Bathy05g04310	predicted protein
Bathy05g04320	conserved hypothetical protein
Bathy05g04330	predicted protein
Bathy05g04340	predicted protein
Bathy05g04350	predicted protein
Bathy05g04360	RNA-binding protein NOB1
Bathy05g04370	translation initiation factor 2 gamma subunit
Bathy05g04380	PREDICTED: similar to predicted protein
Bathy05g04390	predicted protein
Bathy05g04400	sodium/bile acid symporter family protein
Bathy05g04410	unnamed protein product
Bathy05g04420	predicted protein
Bathy05g04430	PREDICTED: similar to predicted protein
Bathy05g04440	26S protease regulatory subunit 6A
Bathy05g04450	predicted protein
Bathy05g04460	glutamate--cysteine ligase
Bathy05g04470	GH19318
Bathy05g04480	NHP2-like protein 1
Bathy05g04490	tRNA modification GTPase TrmE
Bathy05g04500	unknown protein
Bathy05g04510	unknown protein
Bathy05g04520	predicted protein
Bathy05g04530	bromodomain containing 2
Bathy05g04540	predicted protein
Bathy05g04550	unknown protein
Bathy05g04560	predicted protein
Bathy05g04570	indole-3-glycerol-phosphate synthase
Bathy05g04580	unknown protein
Bathy05g04590	predicted protein
Bathy05g04600	predicted protein
Bathy05g04610	vesicular-fusion protein SEC18
Bathy05g04620	predicted protein
Bathy05g04630	hypothetical protein, conserved
Bathy05g04640	cathepsin
Bathy05g04650	predicted protein
Bathy05g04660	unknown protein
Bathy05g04670	NCS1 nucleoside transporter family
Bathy05g04680	unknown protein
Bathy05g04690	predicted protein
Bathy05g04700	unknown protein
Bathy05g04710	predicted protein
Bathy05g04720	unknown protein
Bathy05g04730	predicted protein
Bathy05g04740	predicted protein
Bathy05g04750	predicted protein
Bathy05g04760	tRNA delta(2)-isopentenylpyrophosphate transferase
Bathy05g04770	unknown
Bathy05g04780	cold-shock protein
Bathy05g04790	unknown protein
Bathy05g04800	unknown protein
Bathy05g04810	predicted protein
Bathy05g04820	predicted protein
Bathy05g04830	predicted protein
Bathy05g04840	predicted protein
Bathy05g04850	predicted protein
Bathy05g04860	predicted protein
Bathy05g04870	predicted protein
Bathy05g04880	elongation factor Ts
Bathy05g04890	predicted protein
Bathy05g04900	predicted protein
Bathy05g04910	ribosomal large subunit pseudouridine synthase B
Bathy05g04920	predicted protein
Bathy05g04930	HemK family modification methylase
Bathy05g04940	predicted protein
Bathy05g04950	predicted protein
Bathy05g04960	predicted protein
Bathy05g04970	sugar transporter
Bathy05g04980	dynein heavy chain
Bathy05g04990	hypothetical protein
Bathy05g05000	unknown protein
Bathy05g05010	predicted protein
Bathy05g05020	ATP-dependent RNA helicase DDX1
Bathy05g05030	predicted protein
Bathy05g05040	cysteine synthase A
Bathy05g05050	Predicted membrane protein (ISS)
Bathy05g05060	predicted protein
Bathy05g05070	predicted protein
Bathy05g05080	predicted protein
Bathy05g05090	unknown protein
Bathy05g05100	unknown protein
Bathy05g05110	Potassium channel protein
Bathy05g05120	predicted protein
Bathy05g05130	predicted protein
Bathy05g05140	predicted protein
Bathy05g05150	thiamin pyrophosphokinase-related protein
Bathy05g05160	predicted protein
Bathy05g05170	unknown protein
Bathy05g05180	unknown protein
Bathy05g05190	predicted protein
Bathy05g05200	Proteasome assembly chaperone 2
Bathy05g05210	dihydropyridine-sensitive l-type calcium channel
Bathy06g00010	predicted protein
Bathy06g00020	predicted protein
Bathy06g00030	predicted protein
Bathy06g00040	predicted protein
Bathy06g00050	pyrroline-5-carboxylate reductase
Bathy06g00060	NAD-dependent epimerase/dehydratase
Bathy06g00070	predicted protein
Bathy06g00080	molybdenum cofactor synthesis protein 2 large subunit
Bathy06g00090	unknown protein
Bathy06g00100	Syntaxin 1
Bathy06g00110	predicted protein
Bathy06g00120	predicted protein
Bathy06g00130	expressed protein
Bathy06g00140	predicted protein
Bathy06g00150	serine acetyltransferase
Bathy06g00160	30S ribosomal protein S1
Bathy06g00170	predicted protein
Bathy06g00180	predicted protein
Bathy06g00190	cyclophilin
Bathy06g00200	predicted protein
Bathy06g00210	predicted protein
Bathy06g00220	predicted protein
Bathy06g00230	predicted protein
Bathy06g00240	predicted protein
Bathy06g00250	predicted protein
Bathy06g00260	major facilitator superfamily
Bathy06g00270	unnamed protein product
Bathy06g00280	COG1064: Zn-dependent alcohol dehydrogenases (ISS)
Bathy06g00290	unnamed protein product
Bathy06g00300	unknown protein
Bathy06g00310	glutamate-gated ion channel neurotransmitter receptor family
Bathy06g00320	predicted protein
Bathy06g00330	SEC-C motif domain protein
Bathy06g00340	predicted protein
Bathy06g00350	predicted protein
Bathy06g00360	predicted protein
Bathy06g00370	predicted protein
Bathy06g00380	MATE efflux family protein
Bathy06g00390	glucosamine 6-phosphate N-acetyltransferase
Bathy06g00400	pasticcino 1-Arabidopsis thaliana (ISS)
Bathy06g00410	predicted protein
Bathy06g00420	40S ribosomal protein S26
Bathy06g00430	predicted protein
Bathy06g00440	Oxidoreductase, zinc-binding dehydrogenase
Bathy06g00450	peptidyl-prolyl cis-trans isomerase
Bathy06g00460	predicted protein
Bathy06g00470	predicted protein
Bathy06g00480	carbamoyl-phosphate synthase, small subunit
Bathy06g00490	predicted protein
Bathy06g00500	endoribonuclease L-PSP
Bathy06g00510	predicted protein
Bathy06g00520	ammonium transporter
Bathy06g00530	predicted protein
Bathy06g00540	predicted protein
Bathy06g00550	unknown protein
Bathy06g00560	predicted protein
Bathy06g00570	mitochondrial carrier protein
Bathy06g00580	predicted protein
Bathy06g00590	predicted protein
Bathy06g00600	hypothetical protein CHLREDRAFT_192098
Bathy06g00610	unknown protein
Bathy06g00620	predicted protein
Bathy06g00630	cytochrome c553, chloroplast precursor
Bathy06g00640	predicted protein
Bathy06g00650	unknown protein
Bathy06g00660	unknown protein
Bathy06g00670	predicted protein
Bathy06g00680	6-phosphogluconolactonase
Bathy06g00690	unknown protein
Bathy06g00700	cytochrome c-type heme lyase
Bathy06g00710	predicted protein
Bathy06g00720	predicted protein
Bathy06g00730	predicted protein
Bathy06g00740	G2/M phase checkpoint control protein Sum2
Bathy06g00750	predicted protein
Bathy06g00760	predicted protein
Bathy06g00770	predicted protein
Bathy06g00780	predicted protein
Bathy06g00790	formamidase
Bathy06g00800	spindle D
Bathy06g00810	predicted protein
Bathy06g00820	unnamed protein product
Bathy06g00830	predicted protein
Bathy06g00840	predicted protein
Bathy06g00850	unknown protein
Bathy06g00860	cyclase/dehydrase
Bathy06g00870	probable sialidase
Bathy06g00880	predicted protein
Bathy06g00890	predicted protein
Bathy06g00900	predicted protein
Bathy06g00910	60S ribosomal protein L44
Bathy06g00920	predicted protein
Bathy06g00930	conserved hypothetical protein
Bathy06g00940	chaperone protein DnaJ
Bathy06g00950	predicted protein
Bathy06g00960	unknown protein
Bathy06g00970	unknown protein
Bathy06g00980	predicted protein
Bathy06g00990	predicted protein
Bathy06g01000	predicted protein
Bathy06g01010	predicted protein
Bathy06g01020	predicted protein
Bathy06g01030	hypothetical protein BRAFLDRAFT_203071
Bathy06g01040	predicted protein
Bathy06g01050	predicted protein
Bathy06g01060	predicted protein
Bathy06g01070	unknown protein
Bathy06g01080	predicted protein
Bathy06g01090	predicted protein
Bathy06g01100	60S ribosomal protein L35
Bathy06g01110	citrate synthase
Bathy06g01120	predicted protein
Bathy06g01130	unnamed protein product
Bathy06g01140	glutamyl-tRNA(Gln) amidotransferase, A subunit
Bathy06g01150	predicted protein
Bathy06g01160	unknown protein
Bathy06g01170	pyridine nucleotide transhydrogenase
Bathy06g01180	unknown protein
Bathy06g01190	unknown protein
Bathy06g01200	Drug/Metabolite transporter superfamily
Bathy06g01210	unknown protein
Bathy06g01220	predicted protein
Bathy06g01230	nucleosome binding protein
Bathy06g01240	predicted protein
Bathy06g01250	predicted protein
Bathy06g01260	glycerate dehydrogenase
Bathy06g01270	unnamed protein product
Bathy06g01280	predicted protein
Bathy06g01290	unknown protein
Bathy06g01300	predicted protein
Bathy06g01310	hypothetical protein PPL_00308
Bathy06g01320	hypothetical protein
Bathy06g01330	hypothetical protein PGUG_01454
Bathy06g01340	predicted protein
Bathy06g01350	unknown protein
Bathy06g01360	fertilization-independent endosperm protein
Bathy06g01370	predicted protein
Bathy06g01380	photosystem I subunit X, chloroplast precursor
Bathy06g01390	PREDICTED: similar to predicted protein
Bathy06g01400	unknown protein
Bathy06g01410	predicted protein
Bathy06g01420	conserved hypothetical protein
Bathy06g01430	predicted protein
Bathy06g01440	predicted protein
Bathy06g01450	arsenite methyltransferase
Bathy06g01460	unknown protein
Bathy06g01470	predicted protein
Bathy06g01480	hypothetical protein
Bathy06g01490	putative UDP-N-acetylglucosamine : UMP antiporter
Bathy06g01500	predicted protein
Bathy06g01510	predicted protein
Bathy06g01520	predicted protein
Bathy06g01530	predicted protein
Bathy06g01540	predicted protein
Bathy06g01550	predicted protein
Bathy06g01560	deoxycytidylate deaminase
Bathy06g01570	predicted protein
Bathy06g01580	predicted protein
Bathy06g01590	predicted protein
Bathy06g01600	predicted protein
Bathy06g01610	unknown protein
Bathy06g01620	predicted protein
Bathy06g01630	predicted protein
Bathy06g01640	chromate transporter
Bathy06g01650	OTU domain-containing protein 6B
Bathy06g01660	unknown protein
Bathy06g01670	predicted protein
Bathy06g01680	predicted protein
Bathy06g01690	predicted protein
Bathy06g01700	unknown protein
Bathy06g01710	predicted protein
Bathy06g01720	predicted protein
Bathy06g01730	predicted protein
Bathy06g01740	predicted protein
Bathy06g01750	predicted protein
Bathy06g01760	predicted protein
Bathy06g01770	predicted protein
Bathy06g01780	unknown protein
Bathy06g01790	predicted protein
Bathy06g01800	unnamed protein product
Bathy06g01810	predicted protein
Bathy06g01820	unknown protein
Bathy06g01830	predicted protein
Bathy06g01840	predicted protein
Bathy06g01850	unknown protein
Bathy06g01860	predicted protein
Bathy06g01870	ATP-binding cassette superfamily
Bathy06g01880	hypothetical protein
Bathy06g01890	unknown protein
Bathy06g01900	50S ribosomal protein L17
Bathy06g01910	HopJ type III effector protein
Bathy06g01920	predicted protein
Bathy06g01930	uroporphyrinogen decarboxylase
Bathy06g01940	unnamed protein product
Bathy06g01950	SNF2 family helicase/ATPase PasG
Bathy06g01960	predicted protein
Bathy06g01970	predicted protein
Bathy06g01980	predicted protein
Bathy06g01990	predicted protein
Bathy06g02000	unknown protein
Bathy06g02010	60S ribosomal protein L30
Bathy06g02020	predicted protein
Bathy06g02030	conserved hypothetical protein
Bathy06g02040	branched-chain alpha-keto acid dehydrogenase subunit E2
Bathy06g02050	40S ribosomal protein S20
Bathy06g02060	predicted protein
Bathy06g02070	beta-lactamase-like protein 2
Bathy06g02080	predicted protein
Bathy06g02090	predicted protein
Bathy06g02100	predicted protein
Bathy06g02110	predicted protein
Bathy06g02120	predicted protein
Bathy06g02130	predicted protein
Bathy06g02140	predicted protein
Bathy06g02150	serine hydroxymethyltransferase
Bathy06g02160	unknown protein
Bathy06g02170	unknown protein
Bathy06g02180	peptidase U32
Bathy06g02190	predicted protein
Bathy06g02200	cycloartenol synthase
Bathy06g02210	starch branching enzyme II
Bathy06g02220	predicted protein
Bathy06g02230	unknown protein
Bathy06g02240	predicted protein
Bathy06g02250	predicted protein
Bathy06g02260	amidase, hydantoinase/carbamoylase family
Bathy06g02270	predicted protein
Bathy06g02280	predicted protein
Bathy06g02290	predicted protein
Bathy06g02300	predicted protein
Bathy06g02310	thioredoxin
Bathy06g02320	unnamed protein product
Bathy06g02330	unknown protein
Bathy06g02340	unknown protein
Bathy06g02350	fructose-bisphosphate aldolase
Bathy06g02360	predicted protein
Bathy06g02370	sialyltransferase-like protein
Bathy06g02380	predicted protein
Bathy06g02390	unknown protein
Bathy06g02400	conserved unknown protein
Bathy06g02410	predicted protein
Bathy06g02420	unknown protein
Bathy06g02430	predicted protein
Bathy06g02440	predicted protein
Bathy06g02450	predicted protein
Bathy06g02460	MATE efflux family protein
Bathy06g02470	predicted protein
Bathy06g02480	hypothetical protein CHLNCDRAFT_134209
Bathy06g02490	glutathione peroxidase
Bathy06g02500	unknown protein
Bathy06g02510	unknown protein
Bathy06g02520	predicted protein
Bathy06g02530	predicted protein
Bathy06g02540	predicted protein
Bathy06g02550	RNA exonuclease 4
Bathy06g02560	F0F1 ATP synthase subunit alpha
Bathy06g02570	unknown protein
Bathy06g02580	unnamed protein product
Bathy06g02590	predicted protein
Bathy06g02600	predicted protein
Bathy06g02610	glycerol kinase
Bathy06g02620	predicted protein
Bathy06g02630	unknown protein
Bathy06g02640	unnamed protein product
Bathy06g02650	polynucleotide phosphorylase/polyadenylase
Bathy06g02660	polynucleotide phosphorylase/polyadenylase
Bathy06g02670	predicted protein
Bathy06g02680	predicted protein
Bathy06g02690	predicted protein
Bathy06g02700	predicted protein
Bathy06g02710	predicted protein
Bathy06g02720	zinc transporter ZupT
Bathy06g02730	predicted protein
Bathy06g02740	unknown protein
Bathy06g02750	predicted protein
Bathy06g02760	unknown protein
Bathy06g02770	unknown protein
Bathy06g02780	predicted protein
Bathy06g02790	predicted protein
Bathy06g02800	DNA replication licensing factor, MCM5 component (ISS)
Bathy06g02810	replicative DNA helicase Mcm
Bathy06g02820	predicted protein
Bathy06g02830	unknown protein
Bathy06g02840	predicted protein
Bathy06g02850	RNA Polymerase II CTD phosphatase Fcp1
Bathy06g02860	predicted protein
Bathy06g02870	predicted protein
Bathy06g02880	predicted protein
Bathy06g02890	predicted protein
Bathy06g02900	methylase
Bathy06g02910	sensor histidine kinase
Bathy06g02920	unknown protein
Bathy06g02930	unknown protein
Bathy06g02940	amino acid permease-associated region
Bathy06g02950	unknown protein
Bathy06g02960	unknown protein
Bathy06g02970	predicted protein
Bathy06g02980	UDP-galactopyranose mutase
Bathy06g02990	predicted protein
Bathy06g03000	unnamed protein product
Bathy06g03010	predicted protein
Bathy06g03020	predicted protein
Bathy06g03030	ankyrin repeat protein
Bathy06g03040	unknown protein
Bathy06g03050	unknown protein
Bathy06g03060	unknown protein
Bathy06g03070	predicted protein
Bathy06g03080	predicted protein
Bathy06g03090	predicted protein
Bathy06g03100	unknown protein
Bathy06g03110	unknown protein
Bathy06g03120	saccharopine dehydrogenase
Bathy06g03130	cathepsin B-like cysteine proteinase
Bathy06g03140	unknown protein
Bathy06g03150	predicted protein
Bathy06g03160	predicted protein
Bathy06g03170	40S ribosomal protein S18
Bathy06g03180	shikimate kinase
Bathy06g03190	patched 2
Bathy06g03200	predicted protein
Bathy06g03210	predicted protein
Bathy06g03220	unknown protein
Bathy06g03230	PREDICTED: hypothetical protein
Bathy06g03240	predicted protein
Bathy06g03250	fatty acid desaturase, type 2
Bathy06g03260	ATP synthase subunit alpha, mitochondrial precursor
Bathy06g03270	predicted protein
Bathy06g03280	cyclopropane-fatty-acyl-phospholipid synthase
Bathy06g03290	predicted protein
Bathy06g03300	predicted protein
Bathy06g03310	predicted protein
Bathy06g03320	protein of unknown function UPF0060
Bathy06g03325	unknown protein
Bathy06g03330	predicted protein
Bathy06g03340	SET and MYND domain-containing protein 3
Bathy06g03350	predicted protein
Bathy06g03360	Heat Shock Protein 70, cytosolic
Bathy06g03370	unknown protein
Bathy06g03380	predicted protein
Bathy06g03390	predicted protein
Bathy06g03400	citrate synthase
Bathy06g03410	predicted protein
Bathy06g03420	copper amine oxidase
Bathy06g03430	predicted protein
Bathy06g03440	unnamed protein product
Bathy06g03450	predicted protein
Bathy06g03460	unknown protein
Bathy06g03470	predicted protein
Bathy06g03480	predicted protein
Bathy06g03490	ATP-dependent Clp protease proteolytic subunit
