"Gene" "Common ID or description"
"1535" "ostta03g03150" "3'5'-cyclic nucleotide phosphodiesterase, conserved site              "
"1536" "ostta03g03160" "Coproporphyrinogen III oxidase, conserved site              "
"1537" "ostta03g03170" "PapD-like                  "
"1538" "ostta03g03180" "Glycoside hydrolase, catalytic domain n/a  Glycoside hydrolase, catalytic domain n/a  Glycoside hydrolase, catalytic domain   "
"1539" "ostta03g03190" "unnamed product                 "
"1540" "ostta03g03200" "Peptidase C48, SUMO/Sentrin/Ubl1                "
"1541" "ostta03g03210" "Permease, cytosine/purines, uracil, thiamine, allantoin              "
"1542" "ostta03g03220" "unnamed product                 "
"1543" "ostta03g03230" "unnamed product                 "
"1544" "ostta03g03240" "Ribosomal protein S2, eukaryotic/archaeal               "
"1545" "ostta03g03250" "Sybindin-like protein                 "
"1546" "ostta03g03260" "Phosphoserine aminotransferase                 "
"1547" "ostta03g03270" "Pseudouridine synthase, RsuA/RluB/C/D/E/F                "
"1548" "ostta03g03280" "Ribosomal RNA small subunit methyltransferase E             "
"1549" "ostta03g03290" "Yip1 domain                 "
"1550" "ostta03g03300" "Ribosomal protein L39e, conserved site              "
"1551" "ostta03g03310" "unnamed product                 "
"1552" "ostta03g03320" "unnamed product                 "
"1553" "ostta03g03330" "unnamed product                 "
"1554" "ostta03g03340" "Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site             "
"1555" "ostta03g03350" "Tetratricopeptide-like helical                 "
"1556" "ostta03g03360" "26S proteasome subunit P45               "
"1557" "ostta03g03370" "unnamed product                 "
"1558" "ostta03g03380" "Zinc finger, N-recognin                "
"1559" "ostta03g03390" "Transcription factor jumonji, JmjN               "
"1560" "ostta03g03400" "unnamed product                 "
"1561" "ostta03g03410" "Serine/threonine-protein kinase, active site               "
"1562" "ostta03g03420" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal              "
"1563" "ostta03g03430" "Zinc finger, PHD-type, conserved site              "
"1564" "ostta03g03440" "unnamed product                 "
"1565" "ostta03g03450" "HR-like lesion-inducer                 "
"1566" "ostta03g03460" "Concanavalin A-like lectin/glucanases superfamily               "
"1567" "ostta03g03470" "unnamed product                 "
"1568" "ostta03g03480" "BRCT domain                 "
"1569" "ostta03g03490" "SOUL haem-binding protein                "
"1570" "ostta03g03500" "Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain              "
"1571" "ostta03g03510" "NADP-binding domain                 "
"1572" "ostta03g03520" "T-complex protein 1 theta subunit              "
"1573" "ostta03g03530" "unnamed product                 "
"1574" "ostta03g03540" "unnamed product                 "
"1575" "ostta03g03550" "Leucine-rich repeat, ribonuclease inhibitor subtype              "
"1576" "ostta03g03560" "unnamed product                 "
"1577" "ostta03g03570" "Armadillo-type fold                 "
"1578" "ostta03g03580" "Arf GTPase activating protein               "
"1579" "ostta03g03590" "HSP40/DnaJ peptide-binding                 "
"1580" "ostta03g03600" "DEK, C-terminal                 "
"1581" "ostta03g03610" "Iron hydrogenase                 "
"1582" "ostta03g03620" "Cytochrome P450, conserved site               "
"1583" "ostta03g03640" "Zinc finger, DHHC-type, palmitoyltransferase               "
"1584" "ostta03g03650" "Tetratricopeptide repeat                 "
"1585" "ostta03g03660" "Zinc finger, CCCH-type                "
"1586" "ostta03g03670" "F-box domain                 "
"1587" "ostta03g03680" "Nucleotide-binding, alpha-beta plait                "
"1588" "ostta03g03690" "unnamed product                 "
"1589" "ostta03g03700" "Six-bladed beta-propeller, TolB-like                "
"1590" "ostta03g03710" "Shugoshin, C-terminal n/a  Shugoshin, C-terminal             "
"1591" "ostta03g03720" "unnamed product                 "
"1592" "ostta03g03730" "DNA-binding domain                 "
"1593" "ostta03g03740" "Sas10/Utp3/C1D                  "
"1594" "ostta03g03750" "Glyoxalase/fosfomycin resistance/dioxygenase domain                "
"1595" "ostta03g03760" "Arf GTPase activating protein               "
"1596" "ostta03g03770" "Protein of unknown function DUF2052, coiled-coil             "
"1597" "ostta03g03780" "Structural maintenance of chromosomes protein              "
"1598" "ostta03g03790" "unnamed product                 "
"1599" "ostta03g03800" "Domain of unknown function DUF1995              "
"1600" "ostta03g03810" "unnamed product                 "
"1601" "ostta03g03820" "Isochorismatase-like                  "
"1602" "ostta03g03825" "Isochorismatase-like                  "
"1603" "ostta03g03830" "Methyltransferase type 11                "
"1604" "ostta03g03840" "unnamed product                 "
"1605" "ostta03g03850" "Cytidine deaminase-like                 "
"1606" "ostta03g03860" "Aconitase/3-isopropylmalate dehydratase, swivel                "
"1607" "ostta03g03870" "Peptidase M24, methionine aminopeptidase               "
"1608" "ostta03g03880" "unnamed product                 "
"1609" "ostta03g03890" "JmjC domain                 "
"1610" "ostta03g03900" "Carotenoid oxygenase                 "
"1611" "ostta03g03910" "Phosphoglycerate/bisphosphoglycerate mutase, active site               "
"1612" "ostta03g03920" "unnamed product                 "
"1613" "ostta03g03930" "P-loop containing nucleoside triphosphate hydrolase              "
"1614" "ostta03g03940" "Nucleotide-binding, alpha-beta plait                "
"1615" "ostta03g03950" "Nucleotide sugar epimerase                "
"1616" "ostta03g03960" "DNA-directed RNA polymerase, subunit C11/M/9              "
"1617" "ostta03g03970" "WD40 repeat                 "
"1618" "ostta03g03980" "Armadillo-type fold                 "
"1619" "ostta03g03990" "unnamed product                 "
"1620" "ostta03g04000" "unnamed product                 "
"1621" "ostta03g04010" "Beta-hydroxyacyl-acyl-carrier-protein dehydratase FabZ                "
"1622" "ostta03g04020" "Ergosterol biosynthesis ERG4/ERG24                "
"1623" "ostta03g04025" "hypothetical protein                 "
"1624" "ostta03g04030" "Zinc finger, CCHC-type                "
"1625" "ostta03g04040" "Rab-GTPase-TBC domain                 "
"1626" "ostta03g04050" "unnamed product                 "
"1627" "ostta03g04060" "RNA C5-cytosine methyltransferase                "
"1628" "ostta03g04070" "Protein of unknown function DUF2214, membrane             "
"1629" "ostta03g04080" "Protein of unknown function DUF1749              "
"1630" "ostta03g04090" "Forkhead-associated FHA domain                "
"1631" "ostta03g04100" "unnamed product                 "
"1632" "ostta03g04110" "unnamed product                 "
"1633" "ostta03g04120" "unnamed product                 "
"1634" "ostta03g04130" "Rubisco LS methyltransferase, substrate-binding domain              "
"1635" "ostta03g04140" "Armadillo-type fold                 "
"1636" "ostta03g04150" "Quinolinate phosphoribosyl transferase, C-terminal               "
"1637" "ostta03g04160" "Saposin-like type B, 1               "
"1638" "ostta03g04170" "NLI interacting factor                "
"1639" "ostta03g04180" "TB2/DP1/HVA22-related protein                 "
"1640" "ostta03g04190" "Cyclophilin-like peptidyl-prolyl cis-trans isomerase domain              "
"1641" "ostta03g04200" "ARP2/3 complex, 34kDa subunit p34-Arc              "
"1642" "ostta03g04210" "Ubiquitin supergroup                 "
"1643" "ostta03g04220" "Histone acetyl transferase HAT1 N-terminal              "
"1644" "ostta03g04230" "Helicase, C-terminal                 "
"1645" "ostta03g04240" "unnamed product                 "
"1646" "ostta03g04250" "Bromodomain, conserved site                "
"1647" "ostta03g04260" "RNA-binding S4 domain                "
"1648" "ostta03g04270" "unnamed product                 "
"1649" "ostta03g04280" "Eukaryotic porin/Tom40                 "
"1650" "ostta03g04290" "Ribosomal protein L10e/L16                "
"1651" "ostta03g04300" "Ribonuclease H-like domain                "
"1652" "ostta03g04310" "Protein of unknown function DUF901              "
"1653" "ostta03g04320" "Mitochondrial substrate/solute carrier n/a  Mitochondrial substrate/solute carrier n/a  Mitochondrial substrate/solute carrier      "
"1654" "ostta03g04330" "Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site n/a  Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site     "
"1655" "ostta03g04335" "hypothetical protein                 "
"1656" "ostta03g04340" "NADP-binding domain                 "
"1657" "ostta03g04345" "hypothetical protein                 "
"1658" "ostta03g04350" "Peptide methionine sulphoxide reductase MsrA              "
"1659" "ostta03g04360" "FERM/acyl-CoA-binding protein, 3-helical bundle               "
"1660" "ostta03g04370" "BRCT domain                 "
"1661" "ostta03g04380" "Nascent polypeptide-associated complex subunit alpha              "
"1662" "ostta03g04390" "unnamed product                 "
"1663" "ostta03g04400" "Uncharacterised protein GYD                "
"1664" "ostta03g04410" "WD40 repeat                 "
"1665" "ostta03g04420" "unnamed product                 "
"1666" "ostta03g04430" "G-protein beta WD-40 repeat               "
"1667" "ostta03g04440" "NIF system FeS cluster assembly, NifU-like scaffold, N-terminal           "
"1668" "ostta03g04450" "unnamed product                 "
"1669" "ostta03g04460" "Thioredoxin-like fold                 "
"1670" "ostta03g04470" "Concanavalin A-like lectin/glucanases superfamily               "
"1671" "ostta03g04500" "unnamed product                 "
"1672" "ostta03g04510" "Ribosomal protein L5, conserved site n/a  Ribosomal protein L5, conserved site       "
"1673" "ostta03g04520" "RmlC-like jelly roll fold               "
"1674" "ostta03g04530" "Major facilitator superfamily domain, general substrate transporter            "
"1675" "ostta03g04540" "Chlorophyll A-B binding protein, plant              "
"1676" "ostta03g04550" "Chlorophyll A-B binding protein, plant              "
"1677" "ostta03g04560" "Rubisco LS methyltransferase, substrate-binding domain              "
"1678" "ostta03g04570" "Amidohydrolase 2                 "
"1679" "ostta03g04580" "unnamed product                 "
"1680" "ostta03g04590" "Helicase, C-terminal                 "
"1681" "ostta03g04610" "Protein of unknown function DUF92, TMEM19             "
"1682" "ostta03g04620" "6-phosphogluconate dehydrogenase, C-terminal-like                "
"1683" "ostta03g04630" "CD36 antigen                 "
"1684" "ostta03g04635" "hypothetical protein                 "
"1685" "ostta03g04640" "DREV methyltransferase                 "
"1686" "ostta03g04650" "Ovarian tumour, otubain                "
"1687" "ostta03g04660" "Putative E3 ubiquitin-protein ligase, makorin-related              "
"1688" "ostta03g04670" "5-methyltetrahydrofolate--homocysteine methyltransferase                 "
"1689" "ostta03g04680" "Mitochondrial import inner membrane translocase subunit Tim50            "
"1690" "ostta03g04690" "5-AMP-activated protein kinase, beta subunit, interaction domain            "
"1691" "ostta03g04700" "Protein phosphatase 2C                "
"1692" "ostta03g04710" "Drug/metabolite transporter                 "
"1693" "ostta03g04720" "Short-chain dehydrogenase/reductase SDR                "
"1694" "ostta03g04730" "Helicase, C-terminal                 "
"1695" "ostta03g04740" "Tetratricopeptide repeat                 "
"1696" "ostta03g04750" "ABC transporter, conserved site               "
"1697" "ostta03g04760" "TLDc                  "
"1698" "ostta03g04770" "3'5'-cyclic nucleotide phosphodiesterase                "
"1699" "ostta03g04780" "unnamed product                 "
"1700" "ostta03g04790" "Translation elongation/initiation factor/Ribosomal, beta-barrel               "
"1701" "ostta03g04800" "DnaJ domain                 "
"1702" "ostta03g04810" "Translation initiation factor 3               "
"1703" "ostta03g04820" "Endoribonuclease L-PSP/chorismate mutase-like                "
"1704" "ostta03g04830" "Microtubule-associated protein RP/EB                "
"1705" "ostta03g04840" "DNA-directed RNA polymerase, subunit C11/M/9 n/a  DNA-directed RNA polymerase, subunit C11/M/9       "
"1706" "ostta03g04850" "unnamed product                 "
"1707" "ostta03g04860" "P-loop containing nucleoside triphosphate hydrolase              "
"1708" "ostta03g04870" "GOLD                  "
"1709" "ostta03g04880" "unnamed product                 "
