Gene ID	GO	KO	PFAM
ME000730S09350	ME000730S09350	<a href="http://amigo.geneontology.org/amigo/term/GO:0016670" target="_blank">oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor (GO:0016670)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030328" target="_blank">prenylcysteine catabolic process (GO:0030328)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05906" target="_blank">K05906</a>	<a href="http://pfam.xfam.org/family/PF07156" target="_blank">PF07156</a> <a href="http://pfam.xfam.org/family/PF01593" target="_blank">PF01593</a> <a href="http://pfam.xfam.org/family/PF13450" target="_blank">PF13450</a>
ME000730S09353	ME000730S09353	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00270" target="_blank">PF00270</a> <a href="http://pfam.xfam.org/family/PF00271" target="_blank">PF00271</a>
ME000730S09354	ME000730S09354	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000786" target="_blank">nucleosome (GO:0000786)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11251" target="_blank">K11251</a>	<a href="http://pfam.xfam.org/family/PF16211" target="_blank">PF16211</a> <a href="http://pfam.xfam.org/family/PF00125" target="_blank">PF00125</a> <a href="http://pfam.xfam.org/family/PF00808" target="_blank">PF00808</a>
ME000730S09355	ME000730S09355	<a href="http://amigo.geneontology.org/amigo/term/GO:0000160" target="_blank">phosphorelay signal transduction system (GO:0000160)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000155" target="_blank">phosphorelay sensor kinase activity (GO:0000155)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007165" target="_blank">signal transduction (GO:0007165)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a> <a href="http://pfam.xfam.org/family/PF00072" target="_blank">PF00072</a> <a href="http://pfam.xfam.org/family/PF00512" target="_blank">PF00512</a> <a href="http://pfam.xfam.org/family/PF01590" target="_blank">PF01590</a>
ME000730S09356	ME000730S09356	<a href="http://amigo.geneontology.org/amigo/term/GO:0004616" target="_blank">phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006098" target="_blank">pentose-phosphate shunt (GO:0006098)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">NADP binding (GO:0050661)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00033" target="_blank">K00033</a>	<a href="http://pfam.xfam.org/family/PF00393" target="_blank">PF00393</a> <a href="http://pfam.xfam.org/family/PF03446" target="_blank">PF03446</a>
ME000730S09357	ME000730S09357	<a href="http://amigo.geneontology.org/amigo/term/GO:0004616" target="_blank">phosphogluconate dehydrogenase (decarboxylating) activity (GO:0004616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006098" target="_blank">pentose-phosphate shunt (GO:0006098)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">NADP binding (GO:0050661)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00393" target="_blank">PF00393</a> <a href="http://pfam.xfam.org/family/PF03446" target="_blank">PF03446</a>
ME000730S09358	ME000730S09358	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF02493" target="_blank">PF02493</a> <a href="http://pfam.xfam.org/family/PF00856" target="_blank">PF00856</a>
ME001757S02029	ME001757S02029	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00006" target="_blank">PF00006</a>
ME001757S02030	ME001757S02030	<a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00091" target="_blank">PF00091</a> <a href="http://pfam.xfam.org/family/PF12327" target="_blank">PF12327</a>
ME001757S02031	ME001757S02031	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01923" target="_blank">PF01923</a> <a href="http://pfam.xfam.org/family/PF00005" target="_blank">PF00005</a>
ME000248S04241	ME000248S04241	<a href="http://amigo.geneontology.org/amigo/term/GO:0005216" target="_blank">ion channel activity (GO:0005216)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006811" target="_blank">ion transport (GO:0006811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00520" target="_blank">PF00520</a>
ME000248S04242	ME000248S04242	<a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K22767" target="_blank">K22767</a>	<a href="http://pfam.xfam.org/family/PF00583" target="_blank">PF00583</a> <a href="http://pfam.xfam.org/family/PF13508" target="_blank">PF13508</a>
ME000248S04243	ME000248S04243	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01557" target="_blank">K01557</a>	<a href="http://pfam.xfam.org/family/PF01557" target="_blank">PF01557</a>
ME000248S04244	ME000248S04244	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01557" target="_blank">PF01557</a>
ME000248S04245	ME000248S04245	<a href="http://amigo.geneontology.org/amigo/term/GO:0003755" target="_blank">peptidyl-prolyl cis-trans isomerase activity (GO:0003755)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000413" target="_blank">protein peptidyl-prolyl isomerization (GO:0000413)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12735" target="_blank">K12735</a>	<a href="http://pfam.xfam.org/family/PF00160" target="_blank">PF00160</a>
ME000248S04246	ME000248S04246	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF12796" target="_blank">PF12796</a> <a href="http://pfam.xfam.org/family/PF13637" target="_blank">PF13637</a> <a href="http://pfam.xfam.org/family/PF00023" target="_blank">PF00023</a> <a href="http://pfam.xfam.org/family/PF13606" target="_blank">PF13606</a> <a href="http://pfam.xfam.org/family/PF13857" target="_blank">PF13857</a>
ME000248S04248	ME000248S04248	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01557" target="_blank">PF01557</a>
ME000248S04250	ME000248S04250	<a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF03069" target="_blank">PF03069</a>
ME000248S04252	ME000248S04252	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009982" target="_blank">pseudouridine synthase activity (GO:0009982)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0001522" target="_blank">pseudouridine synthesis (GO:0001522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009451" target="_blank">RNA modification (GO:0009451)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06176" target="_blank">K06176</a>	<a href="http://pfam.xfam.org/family/PF01142" target="_blank">PF01142</a>
ME000248S04253	ME000248S04253	<a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030246" target="_blank">carbohydrate binding (GO:0030246)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01179" target="_blank">K01179</a>	<a href="http://pfam.xfam.org/family/PF00759" target="_blank">PF00759</a> <a href="http://pfam.xfam.org/family/PF09478" target="_blank">PF09478</a>
ME000248S04254	ME000248S04254	<a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K16241" target="_blank">K16241</a>	<a href="http://pfam.xfam.org/family/PF00170" target="_blank">PF00170</a> <a href="http://pfam.xfam.org/family/PF07716" target="_blank">PF07716</a>
ME000248S04256	ME000248S04256	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17086" target="_blank">K17086</a>	<a href="http://pfam.xfam.org/family/PF02990" target="_blank">PF02990</a>
ME000248S04259	ME000248S04259	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11094" target="_blank">K11094</a>	<a href="http://pfam.xfam.org/family/PF00076" target="_blank">PF00076</a> <a href="http://pfam.xfam.org/family/PF13893" target="_blank">PF13893</a>
ME000248S04260	ME000248S04260	<a href="http://amigo.geneontology.org/amigo/term/GO:0016779" target="_blank">nucleotidyltransferase activity (GO:0016779)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF01909" target="_blank">PF01909</a>
ME000248S04262	ME000248S04262	<a href="http://amigo.geneontology.org/amigo/term/GO:0008483" target="_blank">transaminase activity (GO:0008483)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:" target="_blank"></a>	<a href="http://pfam.xfam.org/family/PF00202" target="_blank">PF00202</a> <a href="http://pfam.xfam.org/family/PF01551" target="_blank">PF01551</a>
ME000248S04264	ME000248S04264	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07943" target="_blank">K07943</a>	<a href="http://pfam.xfam.org/family/PF00025" target="_blank">PF00025</a> <a href="http://pfam.xfam.org/family/PF08477" target="_blank">PF08477</a> <a href="http://pfam.xfam.org/family/PF00071" target="_blank">PF00071</a> <a href="http://pfam.xfam.org/family/PF04670" target="_blank">PF04670</a> <a href="http://pfam.xfam.org/family/PF09439" target="_blank">PF09439</a> <a href="http://pfam.xfam.org/family/PF01926" target="_blank">PF01926</a>
ME000248S04265	ME000248S04265	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08874" target="_blank">K08874</a>	<a href="http://pfam.xfam.org/family/PF00454" target="_blank">PF00454</a> <a href="http://pfam.xfam.org/family/PF02259" target="_blank">PF02259</a> <a href="http://pfam.xfam.org/family/PF02260" target="_blank">PF02260</a>
ME000248S04267	ME000248S04267	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03671" target="_blank">K03671</a>	<a href="http://pfam.xfam.org/family/PF00085" target="_blank">PF00085</a> <a href="http://pfam.xfam.org/family/PF13899" target="_blank">PF13899</a>
ME000248S04268	ME000248S04268	<a href="http://amigo.geneontology.org/amigo/term/GO:0005375" target="_blank">copper ion transmembrane transporter activity (GO:0005375)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0035434" target="_blank">copper ion transmembrane transport (GO:0035434)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14686" target="_blank">K14686</a>	<a href="http://pfam.xfam.org/family/PF04145" target="_blank">PF04145</a>
ME000248S04270	ME000248S04270	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">structural molecule activity (GO:0005198)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030126" target="_blank">COPI vesicle coat (GO:0030126)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17301" target="_blank">K17301</a>	<a href="http://pfam.xfam.org/family/PF01602" target="_blank">PF01602</a> <a href="http://pfam.xfam.org/family/PF14806" target="_blank">PF14806</a> <a href="http://pfam.xfam.org/family/PF07718" target="_blank">PF07718</a>
ME000248S04271	ME000248S04271	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030983" target="_blank">mismatched DNA binding (GO:0030983)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006298" target="_blank">mismatch repair (GO:0006298)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K08734" target="_blank">K08734</a>	<a href="http://pfam.xfam.org/family/PF16413" target="_blank">PF16413</a> <a href="http://pfam.xfam.org/family/PF01119" target="_blank">PF01119</a> <a href="http://pfam.xfam.org/family/PF13589" target="_blank">PF13589</a> <a href="http://pfam.xfam.org/family/PF02518" target="_blank">PF02518</a>
ME000248S04272	ME000248S04272	<a href="http://amigo.geneontology.org/amigo/term/GO:0003678" target="_blank">DNA helicase activity (GO:0003678)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000723" target="_blank">telomere maintenance (GO:0000723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K15255" target="_blank">K15255</a>	<a href="http://pfam.xfam.org/family/PF05970" target="_blank">PF05970</a> <a href="http://pfam.xfam.org/family/PF13604" target="_blank">PF13604</a> <a href="http://pfam.xfam.org/family/PF13245" target="_blank">PF13245</a>
