Gene ID	GO	KO
kfl00044_0400	kfl00044_0400	<a href="http://amigo.geneontology.org/amigo/term/GO:0006108" target="_blank">malate metabolic process (GO:0006108)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0051287" target="_blank">NAD binding (GO:0051287)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004470" target="_blank">malic enzyme activity (GO:0004470)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00029" target="_blank">K00029</a>
kfl00044_0410	kfl00044_0410	<a href="http://amigo.geneontology.org/amigo/term/GO:0044237" target="_blank">cellular metabolic process (GO:0044237)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
kfl00045_0020	kfl00045_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11643" target="_blank">K11643</a>
kfl00045_0030	kfl00045_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a>	
kfl00045_0050	kfl00045_0050	<a href="http://amigo.geneontology.org/amigo/term/GO:0015031" target="_blank">protein transport (GO:0015031)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015450" target="_blank">P-P-bond-hydrolysis-driven protein transmembrane transporter activity (GO:0015450)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10956" target="_blank">K10956</a>
kfl00045_0060	kfl00045_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00045_0070	kfl00045_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016884" target="_blank">carbon-nitrogen ligase activity, with glutamine as amido-N-donor (GO:0016884)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00045_0080	kfl00045_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0016485" target="_blank">protein processing (GO:0016485)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
kfl00045_0090	kfl00045_0090	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004518" target="_blank">nuclease activity (GO:0004518)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10746" target="_blank">K10746</a>
kfl00045_0100	kfl00045_0100	<a href="http://amigo.geneontology.org/amigo/term/GO:0007017" target="_blank">microtubule-based process (GO:0007017)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005875" target="_blank">microtubule associated complex (GO:0005875)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10412" target="_blank">K10412</a>
kfl00045_0110	kfl00045_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	
kfl00045_0120	kfl00045_0120	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00045_0130	kfl00045_0130	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004419" target="_blank">hydroxymethylglutaryl-CoA lyase activity (GO:0004419)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01640" target="_blank">K01640</a>
kfl00045_0140	kfl00045_0140	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00045_0160	kfl00045_0160	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00045_0190	kfl00045_0190	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00045_0200	kfl00045_0200	<a href="http://amigo.geneontology.org/amigo/term/GO:0006281" target="_blank">DNA repair (GO:0006281)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10994" target="_blank">K10994</a>
kfl00045_0210	kfl00045_0210	<a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
kfl00045_0230	kfl00045_0230	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00045_0240	kfl00045_0240	<a href="http://amigo.geneontology.org/amigo/term/GO:0006869" target="_blank">lipid transport (GO:0006869)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005319" target="_blank">lipid transporter activity (GO:0005319)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K06316" target="_blank">K06316</a>
kfl00045_0250	kfl00045_0250	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003950" target="_blank">NAD+ ADP-ribosyltransferase activity (GO:0003950)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00045_0260	kfl00045_0260	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00045_0270	kfl00045_0270	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	
kfl00045_0290	kfl00045_0290	<a href="http://amigo.geneontology.org/amigo/term/GO:0006006" target="_blank">glucose metabolic process (GO:0006006)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050661" target="_blank">NADP binding (GO:0050661)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004345" target="_blank">glucose-6-phosphate dehydrogenase activity (GO:0004345)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00036" target="_blank">K00036</a>
kfl00045_0300	kfl00045_0300	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00045_0320	kfl00045_0320	<a href="http://amigo.geneontology.org/amigo/term/GO:0008152" target="_blank">metabolic process (GO:0008152)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05288" target="_blank">K05288</a>
kfl00045_0340	kfl00045_0340	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a>	
kfl00045_0360	kfl00045_0360	<a href="http://amigo.geneontology.org/amigo/term/GO:0006396" target="_blank">RNA processing (GO:0006396)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003723" target="_blank">RNA binding (GO:0003723)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008173" target="_blank">RNA methyltransferase activity (GO:0008173)</a>	
kfl00045_0370	kfl00045_0370	<a href="http://amigo.geneontology.org/amigo/term/GO:0006950" target="_blank">response to stress (GO:0006950)</a>	
kfl00045_0380	kfl00045_0380	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	
kfl00045_0400	kfl00045_0400	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00045_0420	kfl00045_0420	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004674" target="_blank">protein serine/threonine kinase activity (GO:0004674)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004713" target="_blank">protein tyrosine kinase activity (GO:0004713)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016772" target="_blank">transferase activity, transferring phosphorus-containing groups (GO:0016772)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17535" target="_blank">K17535</a>
kfl00045_0430	kfl00045_0430	<a href="http://amigo.geneontology.org/amigo/term/GO:0006886" target="_blank">intracellular protein transport (GO:0006886)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016192" target="_blank">vesicle-mediated transport (GO:0016192)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030126" target="_blank">COPI vesicle coat (GO:0030126)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030117" target="_blank">membrane coat (GO:0030117)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005198" target="_blank">structural molecule activity (GO:0005198)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K05236" target="_blank">K05236</a>
kfl00045_0440	kfl00045_0440	<a href="http://amigo.geneontology.org/amigo/term/GO:0005488" target="_blank">binding (GO:0005488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00046_0010	kfl00046_0010	<a href="http://amigo.geneontology.org/amigo/term/GO:0017111" target="_blank">nucleoside-triphosphatase activity (GO:0017111)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02213" target="_blank">K02213</a>
kfl00046_0020	kfl00046_0020	<a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006810" target="_blank">transport (GO:0006810)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0022857" target="_blank">transmembrane transporter activity (GO:0022857)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005215" target="_blank">transporter activity (GO:0005215)</a>	
kfl00046_0030	kfl00046_0030	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006979" target="_blank">response to oxidative stress (GO:0006979)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0020037" target="_blank">heme binding (GO:0020037)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004601" target="_blank">peroxidase activity (GO:0004601)</a>	
kfl00046_0040	kfl00046_0040	<a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00046_0060	kfl00046_0060	<a href="http://amigo.geneontology.org/amigo/term/GO:0045454" target="_blank">cell redox homeostasis (GO:0045454)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006662" target="_blank">glycerol ether metabolic process (GO:0006662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009055" target="_blank">electron transfer activity (GO:0009055)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015035" target="_blank">protein disulfide oxidoreductase activity (GO:0015035)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03671" target="_blank">K03671</a>
kfl00046_0070	kfl00046_0070	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
kfl00046_0080	kfl00046_0080	<a href="http://amigo.geneontology.org/amigo/term/GO:0005622" target="_blank">intracellular (GO:0005622)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	
kfl00046_0110	kfl00046_0110	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004386" target="_blank">helicase activity (GO:0004386)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K14440" target="_blank">K14440</a>
kfl00046_0150	kfl00046_0150	<a href="http://amigo.geneontology.org/amigo/term/GO:0009072" target="_blank">aromatic amino acid family metabolic process (GO:0009072)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003868" target="_blank">4-hydroxyphenylpyruvate dioxygenase activity (GO:0003868)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016701" target="_blank">oxidoreductase activity, acting on single donors with incorporation of molecular oxygen (GO:0016701)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00457" target="_blank">K00457</a>
