Cre01.g000050.t1.1	Putative RWP-RK domain transcription factor, however the domain is non-canonical (RWPaqk)
Cre03.g179550.t1.1	Transcription factor TFIIH, 44 kDasubunit; RNA polymerase II transcription initiation/nucleotide excision repair factor TFIIH subunit
Cre03.g179800.t1.2	Low-CO2 inducible gene revealed by cDNA array analyses; SOSUI prediction: 3 transmembrane region. TargetP prediction: Mitochondria (confidence: 4); regulated by CCM1 [PMID: 15235119]. Acclimation to changing CO2 concentrations and light intensities was st
Cre03.g180300.t1.2	Sulfite reductase, bacterial type, flavoprotein subunit (CysJ); has flavodoxin, FAD-binding and NADPH-binding domains, plus potential organelle-targeting sequence; some similarity to NADP-binding domain of FNR and to cytochrome P450 reductases.  In the cy
Cre03.g180350.t1.2	Cyclin dependent kinase regulatory subunit. Identified by Abe et al. 2004 [PMID: 15459796] as NSG16, a gene expressed during nitrogen-starved gametogenesis.
Cre03.g180450.t1.2	5'-nucleotidase and conserved uncharacterized Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802].  Previously annotated as FAP215
Cre03.g180550.t1.2	Ecto-5'-nucleotidase precursor; 2,3-cyclic-nucleotide 2-phosphodiesterase.  Previously annotated as NTD5
Cre03.g180650.t1.1	Serine protease, trypsin family, DegP type (HtrA) (protease Do) most similar to AT3g03380 (DegP7) [PMID: 11299370, PMID: 12185496] and fungal signaling-associated PDZ-domain proteins; three PDZ domains at C-term, probably involved in substrate recognition
Cre03.g180750.t1.2	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase (EC 2.1.1.14); Vitamin B12 (cobalamin) independent methionine synthase; homocysteine methylase; methyltetrahydropteroylpolyglutamate:homocysteine methyltransferase; (HMT); found in the
Cre03.g180850.t1.2	Expressed Protein. Component of COP-II vesicle coat complex involved in ER-to-Golgi transport. Part of Sec23/24 sub-complex.
Cre03.g181150.t1.1	Dynein arm light chain 8, LC8 [PMID: 7744782; PMID: 9585416]; fla14 and pf5 are mutants at this locus [PMID: 19696030].  This dynein is shared by inner and outer arms and found in the cytoplasm.  Matsuo et al. 2008 [PMID: 18334618] reported that the roc10
Cre03.g181250.t1.1	NAD dependent epimerase/dehydratase.  Putative short chain dehydrogenase belonging to the extended family [PMID: 12230552]. Similarity to the N-terminal domain of Tic62 [PMID: 17374152 and PMID: 12426385].  Conserved protein related to nucleoside diphosph
Cre03.g181300.t1.2	5-enolpyruvylshikimate-3-phosphate (EPSP) synthase (EC 2.5.1.19); predicted as mitochondrial by Target-P, but expected to be plastidic by homology.  Catalyzes the sixth and penultimate step of the shikimate pathway (PMID: 12242393; PMID: 16963634).  This 
Cre03.g181350.t1.1	Putative mitochondrial ribosomal protein L17, imported to mitochondria
Cre03.g181400.t1.1	Putative aminodeoxychorismate (ADC) synthase (EC 6.3.5.8), based on similarity to tomato ADC synthase [GenBank AAR83121; PMID: 14745019], including a fusion of both PabA & PabB.  Candidate gene for the PAB1 locus.
Cre03.g181500.t1.2	alpha-1,4-glucanotransferase; transfers mostly maltosyl residues from a donor oligosaccharide to the nonreducing end of an acceptor.  Described by Wattebled et al. 2003 [PMID:12746519].  Known formally as disproportionating enzyme (D-enzyme).  Note that t
Cre03.g182150.t1.2	Protein of unknown function DUF477, chloroplast location proposed; Present in thylakoid-enriched fraction based on mass spectrometric peptide identification [PMID: 17078018]
Cre03.g182500.t1.2	Expressed Protein. Similar to the SRP72 subunit of the Signal Recognition Particle. Involved in ER protein translocation.
Cre03.g182551.t1.2	Pre-apoplastocyanin copper binding protein, PETE [PMID: 2165059; PMID: 8940133]; structure of plastocyanin PDB: 2PLT; mutant = ac208 [PMID: 8463310]
Cre03.g182600.t1.1	Conserved expressed protein
Cre03.g182800.t1.1	Transaminase, Class III; similar to alanine-glyoxylate transaminase (EC 2.6.1.44); predicted by Target-P as mitochondrial; peroxisomal location supported by C-terminal PTS1 signal CKL
Cre03.g182950.t1.2	DEAH-box helicase, possibly nuclear pre-mRNA splicing factor.  Homologue of S. cerevisiae mRNA splicing helicases Prp2, Prp16, Prp22 and Prp43 which are required at different steps of the spliceosome cycle.  Previously annotated as SPLH2
Cre03.g183100.t1.2	Similar to mitochondrial import inner membrane translocase TIM22, belongs to theTIM17/TIM22/TIM23 family. Four TIM22-related proteins are present in Arabidopsis, three in Chlamydomonas
Cre03.g183200.t1.2	Mutations at CPC1 disrupt assembly of a central pair microtubule-associated complex and alter flagellar beat frequency in Chlamydomonas [PMID: 15292403]. Identified in the flagellar and basal body proteome as FBB7 [PMID: 15137946]; upregulated by deflagel
Cre03.g183650.t1.1	Glycerophosphoryl diester phosphodiesterase family protein.  Previously annotated as GDPD4
Cre03.g183700.t1.1	1,3-beta-D-glucan synthase and glycosyl transferase.  Previously annotated as GTR10
Cre03.g183850.t1.2	Fe2S2 containing redox protein, predicted chloroplast localization [PMID: 19586916]
Cre03.g184550.t1.2	Conserved expressed protein, chloroplast location predicted in Arabidopsis
Cre03.g184600.t1.1	Putative RWP-RK domain transcription factor [PMID: 15785851]. The model is partly based on an unpublished cDNA sequence.
Cre03.g185000.t1.1	1,3-beta-D-glucan synthase and glycosyl transferase.  Previously annotated as GTR8
Cre03.g185050.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802]
Cre03.g185200.t1.2	Metallophosphoesterase/metallo-dependent phosphatase.  Plant-lineage conserved protein.  Previously annotated as CPL3
Cre03.g185250.t1.2	ADP-glucose alpha-1,3-glucan synthase. Catalyses the transfer of the glucosyl moiety of the ADP-glc to the non-reducing end of a pre-existing alpha-1,3-linked chain
Cre03.g185350.t1.1	1,3-beta-D-glucan synthase and glycosyl transferase.  Previously annotated as GTR9 and GTR15
Cre03.g185500.t1.1	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Probably an histidine acid phosphatase
Cre03.g185550.t1.2	Sedoheptulose-1,7-bisphosphatase (EC 3.1.3.37), chloroplast precursor; 98% identical to Chlamydomonas SBPase cDNA sequence S17P [GenBank CAA52439, PMID: 8165256], but is less consistent with the Chlamydomonas SBPase AA sequence deduced from the genomic se
Cre03.g185650.t1.2	Flagellar Associated Protein; found in the flagellar proteome [PMID: 15998802]; identified in the flagellar basal body proteome [PMID: 15137946]; upregulated by deflagellation
Cre03.g186200.t1.2	Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)
Cre03.g186300.t1.2	Flagellar Associated Protein, found in the flagellar proteome [PMID: 15998802].  Also known as p38, monomeric inner arm axonemal protein [PMID: 17094970]. Previously annotated as FAP146
Cre03.g186400.t1.1	Putative phospholipid scramblase.  Homologous to metazoan scramblase, which exhibits Ca2+-activated phospholipid scrambling activity in vitro. There are also possible SH3 and WW binding motifs. Scramblase is involved in the redistribution of phospholipids
Cre03.g186400.t2.1	Putative phospholipid scramblase.  Homologous to metazoan scramblase, which exhibits Ca2+-activated phospholipid scrambling activity in vitro. There are also possible SH3 and WW binding motifs. Scramblase is involved in the redistribution of phospholipids
Cre03.g186450.t1.1	Putative SET domain lysine N-methylase, possibly involved in histone modification.  ChromoDB SDG3414
Cre03.g187200.t1.2	Flagellar outer arm dynein light chain 6 (11 kDa dynein light chain), LC6.  Previously annotated as ODA13
Cre03.g187350.t1.1	Delta tubulin (TUD)[gi:7441381]. Required for assembly of the basal body/centriole and localizes to the basal body.  Previously annotated as UNI3 after the marker locus name
Cre03.g187450.t1.2	Ribose-5-phosphate isomerase (EC 5.3.1.6), pentose phosphate isomerase; likely plastid precursor based on putative organelle-targeting N-terminal sequence and similarity to spinach plastid ribose phosphate isomerase (GenBank AAL77589)
Cre03.g188200.t1.2	Homologue of S. cerevisiae Rrp42, which is a core component of the exosome, a complex of multiple 3'-5' exoribonucleases involved in RNA processing and RNA degradation. Homologue of RNase PH.  Previously annotated as RNPH2.  Discussed by Zimmer et al. 200
Cre03.g188250.t1.2	ADP-glucose pyrophosphorylase small subunit (GLGS); Catalytic subunit catalyzes the formation of the glucosyl nucleotide from ATP and glucose-1-phosphate [PMID:11208806].
Cre03.g188300.t1.1	Putative NADPH oxidase homolog, related to plant respiratory burst oxidase; respiratory burst oxidase; Ferric reductase like transmembrane component; possible NADPH oxidase activity; possible Cytochrome b-245 heavy chain.  Previously annotated as RBOL1. C
Cre03.g188400.t1.1	Putative NADPH oxidase homolog, related to plant respiratory burst oxidase; ferric reductase like transmembrane component; possible NADPH oxidase activity; possible cytochrome b-245 heavy chain.  Previously annotated as RBOL2
Cre03.g188500.t1.2	Expressed Protein. Similar to yeast Did2p/Vps46p, SNF7-domain protein, component of the ESCRT-III complex involved in the ubiquitin-mediated internalization into the multi-vesicular bodies (late endosomes)
Cre03.g188650.t1.2	Conserved expressed protein related to plastid lipid associated protein PAP. Putative PAP fibrillin - most similar to that of Arabidopsis, Medicago and rice. pfam04755, PAP_fibrillin, PAP_fibrillin. This family identifies a conserved region found in a num
Cre03.g188700.t1.2	Plastid-lipid associated protein; Arabidopsis homologue is in plastoglobuli (PMID: 16461379).  Previously annotated as PLAP6
Cre03.g189250.t1.2	Expressed Protein. Similar to the RabA/Rab11 type GTPase, involved in vesicle trafficking in the Golgi Endosomal system. Identical to YPTC6 [gi|3025293|sp|Q39572|YPT6_CHLRE].  Previously annotated as RABA1
Cre03.g189300.t1.1	Conserved expressed protein related to plastid lipid associated protein PAP/fibrillin; Arabidopsis homologue is in plastoglobuli (PMID: 16461379).  Previously annotated as PLAP10
Cre03.g189400.t1.2	Transfers seryl moiety to tRNA-Ser and to tRNA-Sec (for selenocysteine synthesis)
Cre03.g189550.t1.1	Related to plant homologs; appears as CrZIP8 in PMID: 15710683; PMID: 16766055
Cre03.g189800.t1.2	Peptidyl-prolyl cis-trans isomerase, chloroplast precursor (40 kDa thylakoid lumen rotamase); found in thylakoid proteome based on mass spectrometric identification of multiple peptides [PMID: 17078018]; based on homology and RR motif, probably located in
Cre03.g189950.t1.2	HOP (or Sti1 in yeast) is a cytosolic protein that mediates the interaction between HSP90 and HSP70 via TPR domains; these bind to the EEVD motifs present in cytosolic HSP90 and HSP70 [PMID: 8423808]
Cre03.g190100.t1.1	Eukaryotic translation initiation factor 3, subunit B.  Also known as eIF3 subunit 9, eIF-3 eta, and eIF3b
Cre03.g190150.t1.1	Conserved expressed protein of unknown function; putative plastid protein
Cre03.g190500.t1.2	Belongs to a family of glycoside hydrolases (family 31), which hydrolyse the O-glycosidic bond between two or more carbohydrates, or between a carbohydrate and a non-carbohydrate moiety
Cre03.g190850.t1.2	EnoylCoA hydratase/isomerase; most similar to animal isoforms, probably mitochondrial. Identified by comparative genomics as being present only in organisms having motile (MOT) cilia
Cre03.g190950.t1.2	Alpha tubulin 1
Cre03.g191050.t1.2	Expressed Protein. Ran-type GTPase, involved in nucleo-cytoplasmic trafficking; found in the flagellar proteome [PMID: 15998802]
Cre03.g191250.t1.2	Low-CO2 inducible gene revealed by cDNA array analyses; TargetP prediction: Mitochondria (confidence: 4); regulated by CCM1.  PMID:15235119
Cre03.g191300.t1.2	Low-CO2 inducible gene revealed by cDNA array analyses; TargetP prediction: Mitochondria (confidence: 4); regulated by CCM1.  PMID:15235119.
Cre03.g192000.t1.2	Hypothetical Conserved Protein. Component of COP-II vesicle coat complex involved in ER-to-Golgi transport. Part of Sec13/31 sub-complex; also found associated with nuclear pore in other organisms.
Cre03.g192050.t1.1	Iron transporter Ftr1, Ftr1p, Plasma membrane iron permease [PMID: 12455693]
Cre03.g192550.t1.1	Part of MRE11-RAD50-NBS1 complex. Functions in DNA damage repair and signaling.
Cre03.g193350.t1.1	Dual-specificity protein phosphatase.  Mitogen-Activated Protein (MAP) kinase phosphatase-1,2-related
Cre03.g193500.t1.2	Conserved expressed protein related to triacylglycerol lipase.  Previously annotated as CGLD15
Cre03.g193550.t1.1	Putative mitochondrial ribosomal protein L46
Cre03.g193750.t1.1	Glycine cleavage system, T protein, (aminomethyltransferase from domain homology)
Cre03.g193850.t1.2	Succinyl-CoA ligase alpha-chain, mitochondrial precursor; similarity to mouse SCL alpha (GenBank AAH11087); Present in thylakoid proteome based on mass spectrometric peptide identification; mitochondrial localization assumed (Allmer, Naumann, Markert, Zha
Cre03.g193900.t1.2	High mobility group protein, histone-like transcription factor.  Has homology to DNA polymerase epsilon subunit
Cre03.g194100.t1.2	MAPKKK3; MAP (Mitogen-Activated) Kinase Kinase Kinase Homolog 3; MEK Kinase 3; MAP3K3
Cre03.g194200.t1.2	Putative Pyruvate dehydrogenase (lipoamide); pyruvate dehydrogenase E1 beta subunit, probably plastid precursor; similar to Arabidopsis PDH E1 beta (GenBank NP_174304) and predicted organelle targeting sequence by Target-P
Cre03.g194400.t1.2	Eukaryotic translation initiation factor 3, subunit I.  Also known as eIF3 subunit 2, eIF-3-beta, eIF-p36, eIF3i, and TGF-beta receptor interacting protein 1 (TRIP-1)
Cre03.g194450.t1.1	Conserved protein of unknown function; strong similarity to protein of unknown function in Arabidopsis - NP_973925 - similar protein is also present in rice
Cre03.g194700.t1.1	Putative alpha-glucosidase (EC 3.2.1.20); similarity to arabidopsis [Aglu1; GenBank AAB82656] and sugar beet[GenBank BAA20343; PMID: 9178565] secreted alpha-glucosidase gene products
Cre03.g194850.t1.2	NAD-dependent malate dehydrogenase (MDH) (= malic dehydrogenase) [EC:1.1.1.37]; NAD-dependent; sodium acetate-induced in Chlamydomonas reinhardtii; nuclear gene; gene product is localized in the chloroplast.  MDH1 is listed as being synonymous with Genban
Cre03.g194950.t1.1	Chloroplast RNA polymerase sigma factor RpoD, chloroplast precursor [PMID: 16143845]
Cre03.g195200.t1.2	Haloalkane dehalogenase, an alpha/beta hydrolast.  Green-lineage conserved expressed protein with epoxide hydrolase / esterase motif.  Previously annotated as CGL76
